　0
Python　361
Linux　72
Java　57
C　37
MySQL　36
JavaScript　30
C++　29
R　23
Git　22
MSSQL　21
C#　20
HTML　18
Django　16
Github　16
Excel　16
PostgreSQL　15
PHP　13
jQuery　10
CSS　10
AWS　9
Word　9
Go　9
Node.js　8
Matlab　7
PowerPoint　7
PL/SQL　6
Shell　5
TCP/IP　5
Tableau　4
LabVIEW　4
Oracle　4
TCL　4
ASP.NET　4
Perl　3
UNIX　3
VisualStudio　3
MacOS　3
XMLWebservices　3
DatabaseManagement　3
AJAX　3
VBA　3
RDBMS　3
VisualStudio.net　2
DataModeling　2
SAP　2
Objective-C　2
SDLC　2
SAS　2
SystemsAnalysis　2
Jenkins　2
SPSS　2
GoogleAnalytics　2
PowerBI​　2
Vmware　2
Android　2
Firebase　2
Sass　2
ETL　2
Outlook　2
ssh　2
UML　2
VisualBasic.net　2
VueJS　2
Spring　2
DataArchitect　1
DataMarts　1
IIS　1
EDA　1
IE工業工程　1
Tomcat　1
Scala　1
ARM　1
OOP　1
WindowsServer2012　1
ANSISQL　1
Kotlin　1
JDBC　1
TestScripts　1
OOAD　1
Hubs/Routers　1
WLAN　1
GoogleDataStudio　1
J2EE　1
hadoop　1
Alexa　1
Cisco　1
WebMaster/Developer　1
J2SE　1
OracleERP　1
鼎基ERP　1
AngularJS　1
HTTP　1
Project　1
Visio　1
iOS　1
C++.Net　1
ODBC　1
DHTML　1
VisualC#　1
GoogleTrend　1
SWIFT　1
ADO　1
Informatica　1
OLAP　1
MicrosoftSharePoint　1
XHTML　1
XML　1
D3.js　1
Socket　1
CapacityPlanning　1
GoogleTagManager　1
GoogleDisplayNetwork　1
ReactJS　1
